quote,speaker
"Done is better than perfect","Mark Zuckerberg"
"Coding like poetry should be short and concise","Santosh Kalwar"
"The less confident you are, the more serious you have to act","Tara Ploughman"
"The best writing is rewriting","E. B. White"
"I’m practicing when you’re resting. I’m practicing when you’re sleeping. When you’re practicing, of course I’m practicing too","Floyd Mayweather Jr."
"Always code as if the guy who ends up maintaining your code will be a violent psychopath who knows where you live","John Woods"
"Imagination means nothing without doing","Charlie Chaplin"
"振り向くな、 振り向くな、 後ろには夢がない","寺山修司"
"「この仕事はお前にしかできない」って 言われたいんだよね","管野光明(SHIROBAKO)"
"真面目とは実行するということ","夏目漱石"
"Never put off till tomorrow what you can do today","Benjamin Franklin"
"早く描くには巧くなる。 巧く描くにはいっぱい描く。 いっぱい描くには早く描く","杉江 茂(SHIROBAKO)"
"千日の稽古をもって鍛となし、 万日の稽古をもって錬となす","宮本武蔵"
"Talk is cheap. Show me the code","Linus Torvalds"
"Start with a brute force algorithm until you find a reason to change","Donald Knuth"
"To follow the path: look to the master, follow the master, walk with the master, see through the master, become the master.","modern Zen poem(how to become a hacker)"
"The world is full of fascinating problems waiting to be solved","Eric S. Raymond"
"Boredom and drudgery are evil","Eric S. Raymond"
"Freedom is good","Eric S. Raymond"
"Attitude is no substitute for competence","Eric S. Raymond"
"If you don't have functional English, learn it","Eric S. Raymond"
"We will encourage you to develop the three great virtues of a programmer: laziness, impatience, and hubris","Larry Wall"
"知彼知己、百戦不殆。 不知彼而知己、一勝一負。 不知彼不知己、毎戦必敗。","孫子"
"子曰、 過而不改、 是謂過矣。","孔子(論語)"
"子曰、 学而不思則罔、 思而不学則殆。","孔子(論語)"
"子曰、 知之者不如好之者、 好之者不如楽之者。","孔子(論語)"
